region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total,"13,022","11,757","13,304","12,859","10,892","10,300","9,904","11,528","11,978","9,933"
Africa,"2,413","2,276","2,830","2,522","2,046","2,326","2,226","2,691","2,433","1,968"
Asia ,"6,073","5,286","6,668","6,707","5,509","5,423","5,536","6,517","7,364","6,134"
Europe,"1,696","1,621","1,441","1,318","1,177",927,893,996,951,870
North America    ,937,"1,016","1,007","1,071","1,083",856,645,663,747,682
Oceania,95,36,45,25,36,32,20,25,24,8
South America    ,"1,748","1,448","1,226","1,132",975,646,487,509,337,216
Unknown  ,60,74,87,84,66,90,97,127,122,55
Total,"13,022","11,757","13,304","12,859","10,892","10,300","9,904","11,528","11,978","9,933"
Afghanistan,58,33,25,22,28,7,6,19,36,16
Albania,724,610,497,421,324,213,149,140,93,71
Algeria,13,23,13,6,5,6,D,5,7,D
Angola,9,6,16,7,8,6,D,5,D,D
Argentina  ,18,10,9,15,14,10,8,9,5,3
Armenia,305,268,289,179,149,202,206,143,100,54
Azerbaijan ,31,30,27,23,12,14,9,11,17,5
Bangladesh,149,120,113,100,81,51,48,48,80,63
Belarus,56,89,106,76,80,73,67,72,87,62
Bosnia-Herzegovina,6,8,7,18,6,17,4,6,D,3
Brazil ,33,24,33,33,31,22,17,20,19,14
Bulgaria,43,77,72,67,48,42,20,23,21,5
Burkina Faso ,3,5,13,20,23,39,49,37,57,59
Burma,138,166,157,129,126,108,80,71,64,33
Burundi,12,11,13,13,12,15,7,8,10,13
Cambodia ,31,29,20,13,12,12,13,10,12,7
Cameroon ,273,263,357,205,161,211,196,198,184,137
Canada,5,4,9,9,3,11,5,10,7,D
Central African Republic   ,D,18,10,13,13,16,10,4,5,7
Chad ,5,10,16,21,24,40,28,23,21,4
"China, People’s Republic   ","3,419","3,014","4,048","4,552","3,457","3,449","3,802","4,705","5,383","4,532"
Colombia  ,"1,473","1,151",782,683,548,368,234,213,131,72
"Congo, Democratic Republic    ",24,38,29,28,27,18,17,16,13,19
"Congo, Republic   ",129,76,89,73,70,49,56,57,57,46
Cote d’Ivoire ,77,111,159,135,92,96,66,72,75,55
Cuba ,33,21,26,26,23,15,9,14,5,6
Dominican Republic,3,D,D,5,D,3,11,8,8,4
Ecuador,4,11,11,10,13,6,7,20,16,25
Egypt ,268,194,239,235,185,174,216,275,306,305
El Salvador,42,65,95,139,173,120,146,164,191,181
Eritrea,61,68,96,120,120,198,181,483,351,240
Estonia,8,6,3,13,3,8,D,D,-,D
Ethiopia,260,266,345,352,315,410,407,507,458,399
Fiji   ,95,35,45,24,24,29,18,19,14,3
Gambia,16,30,46,59,53,49,42,45,81,75
Georgia,66,64,59,27,26,24,32,26,22,10
Germany  ,4,5,9,4,5,D,11,4,4,-
Ghana,5,4,6,8,12,7,8,7,10,10
Greece,3,8,3,12,-,-,D,D,D,3
Guatemala ,177,140,161,136,168,159,167,200,222,153
Guinea,258,257,356,325,242,194,186,179,157,101
Guyana,32,30,16,15,D,-,4,4,5,7
Haiti ,535,653,569,586,530,410,168,56,49,53
Honduras  ,46,67,65,86,73,47,65,72,93,92
India ,452,311,450,359,272,263,244,262,282,322
Indonesia ,427,375,314,211,195,157,116,111,126,76
Iran  ,203,143,117,108,71,92,83,108,109,63
Iraq  ,115,94,192,277,410,364,151,117,111,54
Israel,9,17,25,18,16,17,10,13,6,3
Jamaica,3,D,3,D,3,D,6,7,15,6
Jordan,28,21,27,16,19,20,19,7,17,13
Kazakhstan,28,13,25,31,14,20,17,15,14,24
Kenya,62,54,60,51,60,97,90,96,76,40
Kosovo,X,X,X,3,D,7,6,13,27,31
Kyrgyzstan ,16,12,20,7,6,7,10,14,30,35
Laos ,5,19,11,6,4,13,7,D,D,D
Latvia,17,4,12,6,3,D,-,6,3,6
Lebanon  ,42,23,26,29,20,9,26,24,19,16
Liberia,91,70,59,53,32,31,25,23,20,12
Lithuania  ,9,5,18,4,D,D,D,6,-,D
Macedonia ,14,21,20,27,11,15,10,8,3,5
Mali ,10,18,62,60,28,71,74,79,80,76
Mauritania ,220,193,219,174,94,95,59,63,44,39
Mexico,68,34,49,49,73,65,49,107,126,155
Moldova  ,13,6,D,7,16,22,46,72,93,69
Mongolia  ,13,25,39,49,42,28,55,48,35,39
Morocco  ,D,4,8,4,23,4,3,D,10,4
Nepal,93,85,165,131,152,172,231,323,403,381
Nicaragua ,7,16,15,23,23,19,15,19,14,17
Niger ,6,3,10,10,8,14,4,6,8,5
Nigeria,50,33,30,39,28,29,35,28,35,31
Niue ,-,-,-,D,11,3,D,5,7,4
Pakistan  ,164,140,178,140,142,104,115,149,191,127
Peru ,111,59,88,54,52,39,25,24,23,8
Philippines ,29,26,17,9,15,13,5,7,8,5
Romania  ,61,18,43,31,56,31,31,14,12,39
Russia,320,251,203,209,201,128,161,195,176,187
Rwanda,28,19,24,22,20,24,25,16,24,27
Saudi Arabia ,5,6,13,5,5,3,3,D,12,7
Senegal,17,26,15,30,18,25,18,27,31,21
Serbia and Montenegro   ,207,228,179,152,152,148,108,89,67,53
Sierra Leone ,122,82,79,48,47,29,27,24,33,11
Somalia,89,88,116,109,101,168,208,213,99,86
South Africa,5,5,20,8,D,3,D,16,3,D
"Soviet Union, former",86,169,188,191,173,154,176,248,281,252
Sri Lanka  ,63,74,85,89,87,112,112,105,108,95
Sudan,68,55,45,19,30,40,35,35,50,34
Syria ,10,11,20,23,11,18,13,14,37,48
Tajikistan  ,6,9,4,5,D,8,9,10,8,13
Tanzania  ,3,7,17,16,5,6,3,12,6,5
Togo ,66,102,145,82,63,39,45,30,21,13
Turkey,27,12,34,23,11,18,12,13,24,4
Turkmenistan ,16,13,23,12,15,14,7,8,7,D
Uganda,50,53,36,50,33,28,26,27,28,30
Ukraine,90,69,45,40,59,26,62,49,55,43
Uzbekistan ,76,95,95,74,67,65,54,71,42,55
Venezuela ,59,153,279,317,306,192,181,206,130,79
Vietnam,5,8,10,10,7,10,9,13,10,4
Yemen,9,10,10,8,8,7,7,29,16,9
Zimbabwe ,71,58,56,97,68,69,52,44,42,24
All other countries ,144,117,112,102,113,101,101,116,118,115
Unknown1 ,60,74,87,84,66,90,97,127,122,55